College,Major,FresM,FresF,SophM,SophF,JuniM,JuniF,SeniM,SeniF,Non-Degree (M),Non-Degree (F),Total (Both),Semester
Human Sciences,Human Sciences Special (Non-Degree),0,0,0,0,0,0,0,0,11,26,37,f16
Human Sciences,"Apparel, Merchandising, and Design",10,109,11,114,10,102,6,138,0,0,500,f16
Human Sciences,Athletic Training,0,0,1,11,10,5,14,11,0,0,52,f16
Human Sciences,Child & Family Services,1,16,3,77,8,112,12,123,0,0,352,f16
Human Sciences,Culinary Science - Human Sciences,2,3,1,4,3,7,3,5,0,0,28,f16
Human Sciences,Diet and Exercise (H SCI),0,0,0,0,0,0,0,1,0,0,1,f16
Human Sciences,Dietetics (H SCI),0,0,0,3,4,36,10,78,0,0,131,f16
Human Sciences,Early Childhood Education,1,17,0,26,2,35,0,37,0,0,118,f16
Human Sciences,Elementary Education,11,112,16,161,28,171,40,290,0,0,829,f16
Human Sciences,Event Management,3,48,6,81,8,90,5,124,0,0,365,f16
Human Sciences,Family and Consumer Science Education and Studies,0,7,0,10,1,23,3,37,0,0,81,f16
Human Sciences,Financial Counseling and Planning,0,3,1,2,6,11,4,7,0,0,34,f16
Human Sciences,Food Science (H SCI),4,6,3,3,4,10,6,14,0,0,50,f16
Human Sciences,Hospitality Management,3,17,14,17,9,23,16,38,0,0,137,f16
Human Sciences,Human Sciences,4,27,1,7,1,0,0,0,0,0,40,f16
Human Sciences,Kinesiology and Health,84,91,104,144,118,164,201,229,0,0,1135,f16
Human Sciences,Nutritional Science (H SCI),2,6,1,10,2,21,10,41,0,0,93,f16
Human Sciences,Pre-Athletic Training,16,35,3,5,4,5,0,0,0,0,68,f16
Human Sciences,Pre-Diet and Exercise (H SCI),4,10,2,6,1,4,0,2,0,0,29,f16
Human Sciences,Pre-Dietetics (H SCI),4,26,0,28,1,15,1,4,0,0,79,f16
Human Sciences,Pre-Early Childcare Education and Programming,0,0,0,0,0,3,0,3,0,0,6,f16
Human Sciences,Early Childcare Education and Programming,0,0,0,0,0,3,0,6,0,0,9,f16
Liberal Arts and Sciences,Intensive English and Orientation Program LAS,0,0,0,0,0,0,0,0,40,17,57,f16
Liberal Arts and Sciences,Liberal Arts and Sciences Specials (Non-Degree),0,0,0,0,0,0,0,0,91,89,180,f16
Liberal Arts and Sciences,Advertising,9,11,18,33,22,36,36,34,0,0,199,f16
Liberal Arts and Sciences,Anthropology,2,9,4,16,0,8,13,16,0,0,68,f16
Liberal Arts and Sciences,Biochemistry,19,27,14,24,23,7,29,26,0,0,169,f16
Liberal Arts and Sciences,Bioinformatics and Computational Biology,4,4,1,1,2,2,4,4,0,0,22,f16
Liberal Arts and Sciences,Biological/Pre-Medical Illustration,0,0,0,0,1,1,2,9,0,0,13,f16
Liberal Arts and Sciences,Biology,32,56,42,66,42,61,51,57,0,0,407,f16
Liberal Arts and Sciences,Biophysics,0,0,0,0,1,0,1,2,0,0,4,f16
Liberal Arts and Sciences,Chemistry,16,20,24,17,20,11,29,23,0,0,160,f16
Liberal Arts and Sciences,Communication Studies,5,12,14,22,22,41,25,48,0,0,189,f16
Liberal Arts and Sciences,Computer Science,5,1,48,5,81,4,122,14,0,0,280,f16
Liberal Arts and Sciences,Earth Science,1,0,0,1,1,2,5,1,0,0,11,f16
Liberal Arts and Sciences,Economics,10,6,18,2,18,6,23,13,0,0,96,f16
Liberal Arts and Sciences,English,10,34,17,46,22,48,38,64,0,0,279,f16
Liberal Arts and Sciences,Environmental Science (LAS),6,5,7,8,16,7,8,5,0,0,62,f16
Liberal Arts and Sciences,Genetics (LAS),2,15,2,17,9,20,15,19,0,0,99,f16
Liberal Arts and Sciences,Geology,5,0,10,4,12,8,15,9,0,0,63,f16
Liberal Arts and Sciences,History,17,11,32,21,48,11,60,37,0,0,237,f16
Liberal Arts and Sciences,Interdisciplinary Studies,13,8,34,34,60,38,73,45,0,0,305,f16
Liberal Arts and Sciences,Journalism and Mass Communication,35,34,20,53,52,46,36,44,0,0,320,f16
Liberal Arts and Sciences,Liberal Arts and Sciences- Open Option,1,0,0,0,0,0,0,0,0,0,1,f16
Liberal Arts and Sciences,Liberal Studies,0,0,0,1,10,15,54,38,0,0,118,f16
Liberal Arts and Sciences,Linguistics,2,12,1,11,4,11,6,24,0,0,71,f16
Liberal Arts and Sciences,Mathematics,24,14,25,14,31,17,44,25,0,0,194,f16
Liberal Arts and Sciences,Meteorology,18,9,9,9,16,9,18,5,0,0,93,f16
Liberal Arts and Sciences,Music,10,15,8,7,13,12,22,26,0,0,113,f16
Liberal Arts and Sciences,Open Option (LAS),282,358,95,77,17,19,2,2,0,0,852,f16
Liberal Arts and Sciences,Performing Arts,1,4,2,6,1,7,8,11,0,0,40,f16
Liberal Arts and Sciences,Philosophy,2,0,3,0,4,1,9,6,0,0,25,f16
Liberal Arts and Sciences,Physics,27,6,19,2,9,4,38,1,0,0,106,f16
Liberal Arts and Sciences,Political Science,19,19,28,23,45,22,40,27,0,0,223,f16
Liberal Arts and Sciences,Pre-Biological/Pre-Medical Illustration,0,10,5,13,2,18,3,8,0,0,59,f16
Liberal Arts and Sciences,Pre-Computer Science,157,14,67,11,42,4,14,1,0,0,310,f16
Liberal Arts and Sciences,Pre-Liberal Studies,0,0,8,4,16,10,8,4,0,0,50,f16
Liberal Arts and Sciences,Preparation For Human Medicine,21,39,9,9,3,2,3,0,0,0,86,f16
Liberal Arts and Sciences,Preparation For Law,3,1,2,3,0,1,0,0,0,0,10,f16
Liberal Arts and Sciences,Preprofessional Health Programs,12,28,3,8,0,1,0,0,0,0,52,f16
Liberal Arts and Sciences,Psychology,20,114,37,116,48,151,63,189,0,0,738,f16
Liberal Arts and Sciences,Public Relations,4,32,11,47,17,66,15,68,0,0,260,f16
Liberal Arts and Sciences,Religious Studies,1,0,1,1,3,1,3,2,0,0,12,f16
Liberal Arts and Sciences,Sociology,3,10,3,7,11,14,16,15,0,0,79,f16
Liberal Arts and Sciences,Software Engineering,65,10,64,10,60,6,64,2,0,0,281,f16
Liberal Arts and Sciences,Speech Communication,1,1,1,5,5,2,4,3,0,0,22,f16
Liberal Arts and Sciences,Statistics,17,10,12,11,7,6,12,19,0,0,94,f16
Liberal Arts and Sciences,Technical Communication,0,0,4,0,3,4,9,3,0,0,23,f16
Liberal Arts and Sciences,Women's Studies,0,0,0,1,0,1,1,6,0,0,9,f16
Liberal Arts and Sciences,World Languages and Cultures,4,8,2,8,5,11,12,24,0,0,74,f16
Liberal Arts and Sciences,Criminal Justice Studies,26,25,13,7,17,7,0,1,0,0,96,f16
Agriculture and Life Sciences,Agriculture Specials,0,0,0,0,0,0,0,0,40,44,84,s17
Agriculture and Life Sciences,Agriculture Certificate (Non-Degree),0,0,0,0,0,0,0,0,2,0,2,s17
Agriculture and Life Sciences,Agricultural and Life Sciences Education,2,11,3,36,13,40,14,47,0,0,166,s17
Agriculture and Life Sciences,Agricultural Biochemistry,2,1,4,3,2,2,5,1,0,0,20,s17
Agriculture and Life Sciences,Agricultural Business,36,13,78,33,105,52,117,52,0,0,486,s17
Agriculture and Life Sciences,Agricultural Studies,20,7,51,19,98,25,125,37,0,0,382,s17
Agriculture and Life Sciences,Agricultural Systems Technology,17,1,43,7,48,4,86,4,0,0,210,s17
Agriculture and Life Sciences,Agriculture and Life Sciences Exploration,1,0,5,1,1,1,0,0,0,0,9,s17
Agriculture and Life Sciences,Agriculture and Society,1,2,1,6,2,5,2,8,0,0,27,s17
Agriculture and Life Sciences,Agronomy,24,9,29,19,63,26,85,55,0,0,310,s17
Agriculture and Life Sciences,Animal Ecology,13,31,33,50,39,61,58,89,0,0,374,s17
Agriculture and Life Sciences,Animal Science,28,123,43,174,54,183,73,260,0,0,938,s17
Agriculture and Life Sciences,Biology (AGLS),7,30,21,34,21,59,33,87,0,0,292,s17
Agriculture and Life Sciences,Dairy Science,5,5,4,0,1,5,4,19,0,0,43,s17
Agriculture and Life Sciences,Dietetics (AGLS),0,0,0,0,0,5,1,7,0,0,13,s17
Agriculture and Life Sciences,Environmental Science (AGLS),12,3,15,9,18,16,23,18,0,0,114,s17
Agriculture and Life Sciences,Food Science (AGLS),3,6,7,8,10,16,10,17,0,0,77,s17
Agriculture and Life Sciences,Forestry,4,2,15,2,18,3,26,7,0,0,77,s17
Agriculture and Life Sciences,General Preveterinary Medicine,3,5,0,6,0,4,0,0,0,0,18,s17
Agriculture and Life Sciences,Genetics (AGLS),4,7,7,13,5,14,2,27,0,0,79,s17
Agriculture and Life Sciences,Global Resource Systems,2,8,3,16,4,15,11,26,0,0,85,s17
Agriculture and Life Sciences,Horticulture,7,3,16,6,20,18,27,15,0,0,112,s17
Agriculture and Life Sciences,Industrial Technology,19,0,64,5,87,5,103,3,0,0,286,s17
Agriculture and Life Sciences,Microbiology,6,8,10,9,15,21,17,33,0,0,119,s17
Agriculture and Life Sciences,Nutritional Science (AGLS),0,1,0,1,1,1,0,3,0,0,7,s17
Agriculture and Life Sciences,Pre-Diet and Exercise (AGLS),0,1,0,0,0,0,0,0,0,0,1,s17
Agriculture and Life Sciences,Pre-Dietetics (AGLS),0,2,0,7,0,5,0,0,0,0,14,s17
Agriculture and Life Sciences,Public Service and Administration in Agriculture,0,0,0,0,0,0,0,4,0,0,4,s17
Agriculture and Life Sciences,Culinary Food Science - Agriculture,0,0,1,1,1,1,0,3,0,0,7,s17
Business,Business Specials (Non-Degree),0,0,0,0,0,0,0,0,9,6,15,s17
Business,Accounting,0,1,24,24,78,51,145,128,0,0,451,s17
Business,Business Economics,0,0,2,1,11,5,11,2,0,0,32,s17
Business,Business Undeclared,1,1,1,5,3,2,3,4,0,0,20,s17
Business,Finance,1,2,49,19,144,38,199,79,0,0,531,s17
Business,Management,0,1,10,7,41,29,78,56,0,0,222,s17
Business,Management Information Systems,0,0,20,6,82,8,169,35,0,0,320,s17
Business,Marketing,2,4,45,51,83,79,152,165,0,0,581,s17
Business,Pre-Business,429,153,461,205,293,116,65,28,0,0,1750,s17
Business,Supply Chain Management,1,1,42,12,94,33,145,68,0,0,396,s17
Design,Design Certificate (Non-Degree),0,0,0,0,0,0,0,0,0,1,1,s17
Design,Design Specials (Non-Degree),0,0,0,0,0,0,0,0,2,6,8,s17
Design,Architecture-Professional Degree,0,0,26,16,39,27,110,79,0,0,297,s17
Design,Art and Design (Bachelor of Arts),0,0,0,4,4,5,2,12,0,0,27,s17
Design,Community and Regional Planning,2,3,8,3,11,11,21,15,0,0,74,s17
Design,Design,0,1,0,3,8,11,25,10,0,0,58,s17
Design,Design Undeclared,15,41,7,12,5,5,1,1,0,0,87,s17
Design,Graphic Design,0,0,9,34,16,48,29,90,0,0,226,s17
Design,Industrial Design,0,0,20,9,39,20,80,26,0,0,194,s17
Design,Integrated Studio Arts,0,0,3,8,3,14,17,40,0,0,85,s17
Design,Interior Design,0,0,4,31,13,35,17,76,0,0,176,s17
Design,Landscape Architecture,0,0,7,10,13,13,39,38,0,0,120,s17
Design,Pre-Architecture,60,38,46,29,10,6,1,0,0,0,190,s17
Design,Pre-Community and Regional Planning,0,1,0,1,1,0,0,0,0,0,3,s17
Design,Pre-Graphic Design,12,28,7,15,5,5,1,1,0,0,74,s17
Design,Pre-Industrial Design,18,10,17,7,4,2,1,0,0,0,59,s17
Design,Pre-Integrated Studio Arts,1,6,4,3,1,1,0,0,0,0,16,s17
Design,Pre-Interior Design,2,29,4,17,1,2,1,1,0,0,57,s17
Design,Pre-Landscape Architecture,4,3,2,3,0,0,0,0,0,0,12,s17
Design,Interdisciplinary Design,0,0,1,0,1,0,5,9,0,0,16,s17
Engineering,Engineering Specials (Non-Degree),0,0,0,0,0,0,0,0,21,2,23,s17
Engineering,Aerospace Engineering,144,14,160,18,119,13,258,35,0,0,761,s17
Engineering,Agricultural Engineering,31,4,50,7,38,7,52,13,0,0,202,s17
Engineering,Biological Systems Engineering,7,4,9,8,10,14,21,19,0,0,92,s17
Engineering,Chemical Engineering,81,20,106,40,114,46,210,101,0,0,718,s17
Engineering,Civil Engineering,65,19,112,29,131,41,215,53,0,0,665,s17
Engineering,Computer Engineering,134,7,157,14,112,16,232,21,0,0,693,s17
Engineering,Construction Engineering,38,4,68,6,60,13,105,20,0,0,314,s17
Engineering,Electrical Engineering,71,7,107,14,112,13,219,19,0,0,562,s17
Engineering,Engineering,61,16,41,7,10,3,2,0,0,0,140,s17
Engineering,Industrial Engineering,52,15,67,38,102,36,147,77,0,0,534,s17
Engineering,Materials Engineering,17,3,37,18,57,15,86,25,0,0,258,s17
Engineering,Mechanical Engineering,303,34,424,38,419,53,698,85,0,0,2054,s17
Engineering,Software Engineering,47,8,64,9,79,8,83,10,0,0,308,s17
Human Sciences,Human Sciences Special (Non-Degree),0,0,0,0,0,0,0,0,5,17,22,s17
Human Sciences,"Apparel, Merchandising, and Design",9,85,11,93,11,103,10,150,0,0,472,s17
Human Sciences,Athletic Training,0,0,1,4,7,10,16,13,0,0,51,s17
Human Sciences,Child & Family Services,1,18,1,63,10,127,11,139,0,0,370,s17
Human Sciences,Diet and Exercise (H SCI),0,0,0,0,0,0,0,3,0,0,3,s17
Human Sciences,Dietetics (H SCI),0,0,0,0,2,20,11,94,0,0,127,s17
Human Sciences,Early Childcare Education and Programming,0,0,0,0,0,3,0,8,0,0,11,s17
Human Sciences,Early Childhood Education,1,10,0,21,1,25,1,39,0,0,98,s17
Human Sciences,Elementary Education,10,72,14,130,24,167,49,302,0,0,768,s17
Human Sciences,Event Management,1,32,6,80,6,83,9,148,0,0,365,s17
Human Sciences,Family and Consumer Science Education and Studies,0,5,0,15,2,19,3,43,0,0,87,s17
Human Sciences,Financial Counseling and Planning,3,3,0,2,5,7,7,10,0,0,37,s17
Human Sciences,Food Science (H SCI),1,6,3,5,4,9,6,14,0,0,48,s17
Human Sciences,Hospitality Management,5,13,13,22,10,15,18,38,0,0,134,s17
Human Sciences,Human Sciences,3,9,1,3,0,2,1,0,0,0,19,s17
Human Sciences,Kinesiology and Health,63,78,99,138,132,153,194,262,0,0,1119,s17
Human Sciences,Nutritional Science (H SCI),1,4,1,11,2,16,11,47,0,0,93,s17
Human Sciences,Pre-Athletic Training,7,15,8,13,4,2,1,0,0,0,50,s17
Human Sciences,Pre-Diet and Exercise (H SCI),2,3,4,9,0,2,1,1,0,0,22,s17
Human Sciences,Pre-Dietetics (H SCI),2,21,2,22,1,20,1,8,0,0,77,s17
Human Sciences,Pre-Early Childcare Education and Programming,0,0,0,0,0,1,0,3,0,0,4,s17
Human Sciences,Culinary Food Science - Human Sciences,2,2,3,3,2,9,3,7,0,0,31,s17
Liberal Arts and Sciences,Liberal Arts and Sciences Specials (Non-Degree),0,0,0,0,0,0,0,0,83,86,169,s17
Liberal Arts and Sciences,Intensive English and Orientation Program LAS,0,0,0,0,0,0,0,0,27,12,39,s17
Liberal Arts and Sciences,Advertising,6,10,10,21,24,46,42,41,0,0,200,s17
Liberal Arts and Sciences,Anthropology,1,5,4,17,4,10,8,17,0,0,66,s17
Liberal Arts and Sciences,Biochemistry,11,11,14,18,15,12,33,23,0,0,137,s17
Liberal Arts and Sciences,Bioinformatics and Computational Biology,3,2,1,2,0,2,4,5,0,0,19,s17
Liberal Arts and Sciences,Biological/Pre-Medical Illustration,0,0,0,1,0,5,3,15,0,0,24,s17
Liberal Arts and Sciences,Biology,22,34,42,53,44,59,58,73,0,0,385,s17
Liberal Arts and Sciences,Biophysics,0,0,0,0,0,0,2,1,0,0,3,s17
Liberal Arts and Sciences,Chemistry,11,8,15,17,21,11,34,26,0,0,143,s17
Liberal Arts and Sciences,Communication Studies,4,9,11,17,27,49,25,47,0,0,189,s17
Liberal Arts and Sciences,Computer Science,8,0,42,4,81,3,123,14,0,0,275,s17
Liberal Arts and Sciences,Criminal Justice Studies,37,22,37,33,35,17,6,3,0,0,190,s17
Liberal Arts and Sciences,Earth Science,1,0,0,1,2,2,3,1,0,0,10,s17
Liberal Arts and Sciences,Economics,7,7,18,2,18,5,28,10,0,0,95,s17
Liberal Arts and Sciences,English,5,24,15,40,20,48,36,76,0,0,264,s17
Liberal Arts and Sciences,Environmental Science (LAS),5,2,9,8,9,4,8,8,0,0,53,s17
Liberal Arts and Sciences,Genetics (LAS),1,13,4,18,3,17,18,27,0,0,101,s17
Liberal Arts and Sciences,Geology,3,0,9,2,12,8,16,8,0,0,58,s17
Liberal Arts and Sciences,History,11,6,39,23,38,18,72,39,0,0,246,s17
Liberal Arts and Sciences,Interdisciplinary Studies,2,1,11,10,43,21,61,53,0,0,202,s17
Liberal Arts and Sciences,Journalism and Mass Communication,20,20,19,48,34,44,53,53,0,0,291,s17
Liberal Arts and Sciences,Liberal Arts and Sciences- Open Option,1,0,0,0,0,0,0,0,0,0,1,s17
Liberal Arts and Sciences,Liberal Studies,0,0,1,1,11,13,54,44,0,0,124,s17
Liberal Arts and Sciences,Linguistics,3,9,1,9,7,12,7,23,0,0,71,s17
Liberal Arts and Sciences,Mathematics,11,13,24,17,29,17,45,25,0,0,181,s17
Liberal Arts and Sciences,Meteorology,11,5,8,4,9,7,27,8,0,0,79,s17
Liberal Arts and Sciences,Music,5,10,6,6,16,12,21,24,0,0,100,s17
Liberal Arts and Sciences,Open Option (LAS),137,142,85,89,15,12,4,2,0,0,486,s17
Liberal Arts and Sciences,Performing Arts,3,2,2,3,3,5,6,13,0,0,37,s17
Liberal Arts and Sciences,Philosophy,3,1,2,0,6,0,10,8,0,0,30,s17
Liberal Arts and Sciences,Physics,19,2,15,2,11,3,33,2,0,0,87,s17
Liberal Arts and Sciences,Political Science,16,18,34,19,42,26,54,28,0,0,237,s17
Liberal Arts and Sciences,Pre-Biological/Pre-Medical Illustration,0,8,3,8,4,11,3,8,0,0,45,s17
Liberal Arts and Sciences,Pre-Computer Science,95,4,59,8,36,7,20,2,0,0,231,s17
Liberal Arts and Sciences,Pre-Liberal Studies,0,1,2,4,13,8,7,1,0,0,36,s17
Liberal Arts and Sciences,Preparation For Human Medicine,9,13,5,15,2,1,2,0,0,0,47,s17
Liberal Arts and Sciences,Preparation For Law,3,1,1,2,0,1,0,0,0,0,8,s17
Liberal Arts and Sciences,Preprofessional Health Programs,4,16,3,2,0,1,0,1,0,0,27,s17
Liberal Arts and Sciences,Psychology,25,80,36,105,30,136,77,220,0,0,709,s17
Liberal Arts and Sciences,Public Relations,3,15,13,48,17,64,24,87,0,0,271,s17
Liberal Arts and Sciences,Religious Studies,1,0,1,1,1,2,4,1,0,0,11,s17
Liberal Arts and Sciences,Sociology,1,6,6,12,10,10,11,19,0,0,75,s17
Liberal Arts and Sciences,Software Engineering,38,8,61,12,67,6,69,4,0,0,265,s17
Liberal Arts and Sciences,Speech Communication,1,2,1,7,6,4,6,4,0,0,31,s17
Liberal Arts and Sciences,Statistics,12,6,14,5,6,11,18,21,0,0,93,s17
Liberal Arts and Sciences,Technical Communication,0,1,5,1,2,3,7,2,0,0,21,s17
Liberal Arts and Sciences,Women's Studies,0,0,0,3,0,1,1,4,0,0,9,s17
Liberal Arts and Sciences,World Languages and Cultures,1,9,3,9,2,9,14,30,0,0,77,s17
Agriculture and Life Sciences,Agricultural and Life Sciences Education,8,23,3,34,13,59,9,31,0,0,180,f17
Agriculture and Life Sciences,Agricultural Biochemistry,1,3,2,3,3,2,4,2,0,0,20,f17
Agriculture and Life Sciences,Agricultural Business,69,37,79,41,100,47,108,50,0,0,531,f17
Agriculture and Life Sciences,Agricultural Studies,32,8,56,17,92,29,107,31,0,0,372,f17
Agriculture and Life Sciences,Agricultural Systems Technology,32,2,35,4,45,5,62,5,0,0,190,f17
Agriculture and Life Sciences,Agriculture and Life Sciences Exploration,4,4,4,4,2,0,0,1,0,0,19,f17
Agriculture and Life Sciences,Agriculture and Society,0,4,0,3,1,7,2,8,0,0,25,f17
Agriculture and Life Sciences,Agriculture Certificate (Non-Degree),0,0,0,0,0,0,0,0,1,1,2,f17
Agriculture and Life Sciences,Agriculture Specials,0,0,0,0,0,0,0,0,57,53,110,f17
Agriculture and Life Sciences,Agronomy,27,18,36,26,60,20,84,52,0,0,323,f17
Agriculture and Life Sciences,Animal Ecology,20,41,27,63,52,61,49,81,0,0,394,f17
Agriculture and Life Sciences,Animal Science,37,213,42,182,50,187,65,241,0,0,1017,f17
Agriculture and Life Sciences,Biology (AGLS),19,40,18,38,22,63,30,80,0,0,310,f17
Agriculture and Life Sciences,Culinary Food Science - Agriculture,0,0,0,0,2,2,1,1,0,0,6,f17
Agriculture and Life Sciences,Dairy Science,1,2,7,6,4,1,3,7,0,0,31,f17
Agriculture and Life Sciences,Dietetics (AGLS),0,0,0,0,0,8,0,6,0,0,14,f17
Agriculture and Life Sciences,Environmental Science (AGLS),19,10,15,10,11,20,21,21,0,0,127,f17
Agriculture and Life Sciences,Food Science (AGLS),8,11,5,12,6,12,11,16,0,0,81,f17
Agriculture and Life Sciences,Forestry,8,4,18,4,21,6,29,7,0,0,97,f17
Agriculture and Life Sciences,General Preveterinary Medicine,5,10,3,9,1,0,1,1,0,0,30,f17
Agriculture and Life Sciences,Genetics (AGLS),3,12,9,13,6,14,5,17,0,0,79,f17
Agriculture and Life Sciences,Global Resource Systems,4,9,2,16,2,17,7,31,0,0,88,f17
Agriculture and Life Sciences,Horticulture,7,10,14,13,25,10,26,20,0,0,125,f17
Agriculture and Life Sciences,Industrial Technology,20,1,53,4,83,8,120,4,0,0,293,f17
Agriculture and Life Sciences,Microbiology,3,9,9,11,15,17,18,31,0,0,113,f17
Agriculture and Life Sciences,Nutritional Science (AGLS),0,0,0,1,1,0,1,3,0,0,6,f17
Agriculture and Life Sciences,Pre-Diet and Exercise (AGLS),0,1,1,0,0,0,0,0,0,0,2,f17
Agriculture and Life Sciences,Pre-Dietetics (AGLS),1,10,0,5,1,1,0,0,0,0,18,f17
Business,Accounting,0,0,25,24,63,55,136,112,0,0,415,f17
Business,Business Economics,0,0,3,1,5,2,19,6,0,0,36,f17
Business,Business Specials (Non-Degree),0,0,0,0,0,0,0,0,7,4,11,f17
Business,Business Undeclared,0,0,6,4,12,2,0,5,0,0,29,f17
Business,Entrepreneurship,0,0,2,0,1,0,2,1,0,0,6,f17
Business,Finance,2,0,52,15,154,37,208,59,0,0,527,f17
Business,International Business,0,0,0,0,0,0,0,1,0,0,1,f17
Business,Management,1,0,15,15,45,32,79,60,0,0,247,f17
Business,Management Information Systems,1,0,24,2,94,13,181,30,0,0,345,f17
Business,Marketing,1,1,36,36,92,95,135,125,0,0,521,f17
Business,Pre-Business,596,251,511,209,271,147,54,24,0,0,2063,f17
Business,Supply Chain Management,2,0,34,14,95,35,141,65,0,0,386,f17
Design,Architecture-Professional Degree,1,3,34,29,45,33,106,74,0,0,325,f17
Design,Art and Design (Bachelor of Arts),0,2,0,2,3,3,2,11,0,0,23,f17
Design,Community and Regional Planning,3,0,10,8,11,10,16,13,0,0,71,f17
Design,Design,0,0,0,0,3,3,10,5,0,0,21,f17
Design,Design Certificate (Non-Degree),0,0,0,0,0,0,0,0,1,0,1,f17
Design,Design Specials (Non-Degree),0,0,0,0,0,0,0,0,2,8,10,f17
Design,Design Undeclared,15,53,6,10,3,2,3,0,0,0,92,f17
Design,Graphic Design,2,4,16,39,19,56,23,73,0,0,232,f17
Design,Industrial Design,2,1,31,15,38,26,72,19,0,0,204,f17
Design,Integrated Studio Arts,0,1,3,16,7,17,14,25,0,0,83,f17
Design,Interdisciplinary Design,1,0,1,4,6,6,8,6,0,0,32,f17
Design,Interior Design,0,3,8,44,11,42,17,53,0,0,178,f17
Design,Landscape Architecture,2,2,12,12,15,12,32,36,0,0,123,f17
Design,Pre-Architecture,88,62,23,14,3,3,1,1,0,0,195,f17
Design,Pre-Community and Regional Planning,4,2,3,1,1,0,1,0,0,0,12,f17
Design,Pre-Graphic Design,24,46,1,11,7,2,0,2,0,0,93,f17
Design,Pre-Industrial Design,31,7,9,1,2,1,0,0,0,0,51,f17
Design,Pre-Integrated Studio Arts,3,12,1,2,0,0,0,0,0,0,18,f17
Design,Pre-Interior Design,5,51,0,12,0,4,1,0,0,0,73,f17
Design,Pre-Landscape Architecture,9,2,1,0,0,0,0,0,0,0,12,f17
Engineering,Aerospace Engineering,250,33,187,27,141,17,244,30,0,0,929,f17
Engineering,Agricultural Engineering,38,5,41,6,56,9,61,16,0,0,232,f17
Engineering,Biological Systems Engineering,7,15,10,10,8,16,23,17,0,0,106,f17
Engineering,Chemical Engineering,97,46,127,53,133,36,191,96,0,0,779,f17
Engineering,Civil Engineering,101,23,107,31,130,43,222,56,0,0,713,f17
Engineering,Computer Engineering,220,16,179,17,143,11,226,22,0,0,834,f17
Engineering,Construction Engineering,32,6,75,4,66,12,105,19,0,0,319,f17
Engineering,Electrical Engineering,74,9,103,9,112,20,199,19,0,0,545,f17
Engineering,Engineering,253,38,54,18,16,1,0,0,0,0,380,f17
Engineering,Engineering Specials (Non-Degree),0,0,0,0,0,0,0,0,35,9,44,f17
Engineering,Industrial Engineering,53,19,75,34,94,41,148,68,0,0,532,f17
Engineering,Materials Engineering,21,9,40,13,51,19,92,23,0,0,268,f17
Engineering,Mechanical Engineering,407,44,442,60,446,54,680,78,0,0,2211,f17
Engineering,Software Engineering,70,12,82,8,73,9,96,13,0,0,363,f17
Human Sciences,"Apparel, Merchandising, and Design",12,127,15,113,9,115,13,128,0,0,532,f17
Human Sciences,Athletic Training,0,0,1,8,3,13,12,8,0,0,45,f17
Human Sciences,Child & Family Services,1,26,1,51,8,107,7,130,0,0,331,f17
Human Sciences,Culinary Food Science - Human Sciences,3,1,4,7,4,7,3,11,0,0,40,f17
Human Sciences,Diet and Exercise (H SCI),0,0,0,0,0,0,0,2,0,0,2,f17
Human Sciences,Dietetics (H SCI),0,0,1,2,2,24,8,75,0,0,112,f17
Human Sciences,Early Childcare Education and Programming,0,0,0,0,0,2,0,7,0,0,9,f17
Human Sciences,Early Childhood Education,0,23,1,26,2,24,1,41,0,0,118,f17
Human Sciences,Elementary Education,7,112,21,137,24,178,39,275,0,0,793,f17
Human Sciences,Event Management,4,48,5,80,11,94,7,121,0,0,370,f17
Human Sciences,Family and Consumer Science Education and Studies,0,12,0,18,3,20,2,39,0,0,94,f17
Human Sciences,Financial Counseling and Planning,1,0,2,5,1,5,9,11,0,0,34,f17
Human Sciences,Food Science (H SCI),0,2,3,10,3,9,5,11,0,0,43,f17
Human Sciences,Hospitality Management,4,6,8,16,16,19,15,31,0,0,115,f17
Human Sciences,Human Sciences,2,20,1,5,0,5,0,0,0,0,33,f17
Human Sciences,Human Sciences Special (Non-Degree),0,0,0,0,0,0,0,0,8,20,28,f17
Human Sciences,Kinesiology and Health,68,92,100,134,144,151,173,206,0,0,1068,f17
Human Sciences,Nutritional Science (H SCI),1,12,0,11,4,15,7,37,0,0,87,f17
Human Sciences,Pre-Athletic Training,21,26,2,4,2,2,0,0,0,0,57,f17
Human Sciences,Pre-Diet and Exercise (H SCI),0,7,3,9,3,7,0,0,0,0,29,f17
Human Sciences,Pre-Dietetics (H SCI),1,31,3,32,3,8,0,3,0,0,81,f17
Human Sciences,Pre-Early Childcare Education and Programming,0,0,0,0,0,1,0,0,0,0,1,f17
Liberal Arts and Sciences,Advertising,5,12,13,26,29,35,26,38,0,0,184,f17
Liberal Arts and Sciences,Anthropology,1,9,4,6,4,19,6,14,0,0,63,f17
Liberal Arts and Sciences,Biochemistry,18,23,12,17,15,15,29,15,0,0,144,f17
Liberal Arts and Sciences,Bioinformatics and Computational Biology,1,0,4,4,1,1,3,4,0,0,18,f17
Liberal Arts and Sciences,Biological/Pre-Medical Illustration,0,0,0,0,1,4,2,16,0,0,23,f17
Liberal Arts and Sciences,Biology,36,54,46,68,45,56,62,76,0,0,443,f17
Liberal Arts and Sciences,Biophysics,0,2,0,0,0,0,1,0,0,0,3,f17
